id,country_id:id,name,code
state_uy_1,base.uy,Artigas,AR
state_uy_2,base.uy,Canelones,CA
state_uy_3,base.uy,Cerro Largo,CL
state_uy_4,base.uy,Colonia,CO
state_uy_5,base.uy,Durazno,DU
state_uy_6,base.uy,Flores,FS
state_uy_7,base.uy,Florida,FD
state_uy_8,base.uy,Lavalleja,LA
state_uy_9,base.uy,Maldonado,MA
state_uy_10,base.uy,Montevideo,MO
state_uy_11,base.uy,Paysandú,PA
state_uy_12,base.uy,Río Negro,RN
state_uy_13,base.uy,Rivera,RV
state_uy_14,base.uy,Rocha,RO
state_uy_15,base.uy,Salto,SA
state_uy_16,base.uy,San José,SJ
state_uy_17,base.uy,Soriano,SO
state_uy_18,base.uy,Tacuarembó,TA
state_uy_19,base.uy,Treinta y Tres,TT